EventName,EventDescription,EventStartTime,EventEndTime,EventCategoryName,EventLocation
IoT Line Fair '18,"IoT Line Fair '18
Türkiye'nin ilk Internet of Things & Akıllı Ürünler Fuarı, 4. senesinde yeniden sizlerle!

Website: http://www.iotlinefair.com

INTERNET OF THINGS

Internet of Things, kısaca IoT, Türkçesiyle de “nesnelerin interneti”; nesnelerin internet üzerinde veri alışverişi yapabilmesi ve bu sayede internete bağlı olan diğer tüm cihazlarla iletişim kurarak nesneler ekosistemi içerisinde yaşabilmesini vadediyor. Yapılan araştırmalar IoT uygulamalarının yani internet nesnelerinin 2020 yılı itibariyle 200 milyar cihaza kadar çıkacağını ve bu kapsamda yıllık 7 trilyon dolarlık bir pazar büyüklüğüne ulaşılacağını öngörüyor. Bu sayılara bakarak, 2020 yılında kişi başına ortalama 26 akıllı nesnenin düşeceği söylenebilir.
Şuanda yükselmekte olan IoT trendi ile birlikte, teknoloji devleri ve girişimler internet nesneleri tasarlamanın ve üretmenin peşindeler. Sosyal mecralarda her geçen gün yeni bir akıllı ürüne denk geliyoruz ve bu trendin büyük bir hızla ürettiği ürünleri ve çözümleri görüyoruz; hayalimizdeki akıllı ürünler belki 2020’den daha da yakın.

IoT LINE FAIR NEDİR?
“Artık geleceğin değil, günümüzün teknolojisi!”

İTÜ IEEE’ye bağlı EESTEC İstanbul Yerel Komitesi tarafından düzenlenen ve bu sene 7 Nisan’da IoT Türkiye iş birliğiyle dördüncüsü gerçekleşecek olan IoT Line Fair, Türkiye’nin ilk IoT & Akıllı Ürünler Fuarı olma sıfatını taşıyor.

Etkinlik, Internet of Things (Nesnelerin İnterneti) ve akıllı ürünler konularıyla alakalı sunumlardan oluşan konferansları, gün boyunca katılımcıların masaları dolaşarak IoT alanında çalışan şirket ve startupların çalışmalarını inceleyebileceği ve dinleyebileceği bir fuar ortamını, nesnelerin interneti meraklısı herkesin tecrübelerini paylaşabileceği Türkiye IoT Ekosistemini bir araya getiren bir networking ortamını ve de yapılacak catering servisini kapsıyor.

IoT ekosistemindeki uzman şirket, kişi ve startuplar ile IoT alanını merak eden öğrencilerin bir araya gelmesi ve Türkiye’de aktif olarak çalışılmaya başlanmış bu sektör hakkında bilgi edinebilmesi amacıyla düzenlenen etkinlik her kitleye hitap edebilecek bir program içeriyor ve 1000 kişiye ulaşan yüksek bir katılım hedefliyor.

Şirketlerin IoT’ye bakışı ve mevcut çalışmaları, dijitalleşme, akıllı şehir, akıllı ürünler, akıllı endüstri gibi globalde IoT konseptlerinde yapılan çalışmalar, kurumsal başarı hikayeleri, startup’ların konulara bakışı ve çalışmaları, ekosistemin önemigibi pek çok konunun masaya yatırılacağı etkinlikte, IoT tüm boyutlarıyla ve oldukça geniş bir perspektiften, hem büyük şirketler hem de startuplar tarafından ele alınıyor.



Program Akışı
9.00-10.00 Kayıtlar10.00-10.20 Açılış Konuşması10.20-10.45 IoT Türkiye sunumu10.45-11.30 Yapı Kredi Oturumu11.30-11.45 Fuar Arası11.45-12.15 HP Aruba Oturumu - Sinan Kavala - HP ARUBA IoT Güvenlik Çözümleri 12.15-13.15 Öğle Arası13.15-14.00 IoT ve Trend Teknolojiler Paneli (Blockchain, AI) - 14.00-14.30 Mitsubishi Oturumu- Can Tolga Bizel14.30-15.00 Fuar Arası15.00-15.30 ASELSAN Oturumu-Alper Gerçek - Savunma Sanayiinde IoT Uygulamaları15.30-16.00 Turkcell Oturumu - Halil Cem Burnaz - Akıllı Ev ve Görüntüleme Teknolojileri16.00-16.15 Kapanış
*ITU IEEE Öğrenci Kolu ve IoT Türkiye program akışında değişiklik yapma hakkını saklı tutar.

Yer: İstanbul Teknik Üniversitesi Ayazağa Kampüsü
Salon: Süleyman Demirel Kültür Merkezi
Tarih: 7 Nisan 2018

Facebook Sayfası:
https://www.facebook.com/iotlinefair
*Etkinlik Türkiye'nin dört bir yanından tüm katılımcılara açık ve ücretsizdir.",2018-04-07T09:00:00,2018-04-07T18:30:00,Science & Technology,Turkey
The Pitcher 2018,"About the event
The Pitcher is a pitching event, giving the opportunity to entrepreneurs and startup teams to showcase their businesses in front of large audience of investors, VCs, fellow entrepreneurs, journalists and mentors, and to win and secure funding for their companies.
Benefits for the startups (Startup application is open! Visit www.thepitcher.org)
The participating entrepreneurs and startup teams will have the chance not only to present their companies, but also to establish great new connections, to expand their networks, to receive support and even to impress potential customers, business partners and future team members.
Benefits for the investors
All potential investors will have the great opportunity to observe many promising startups, to meet with talented and ambitious entrepreneurs, to get introduced to many game-changing ideas and aspiring projects, and to get familiar with emerging trends.
Benefits for the audience
All attendees of The Pitcher will have the ability to be part of one inspiring experience, including meeting with interesting people, listening to great pitches, making new contacts and getting new ideas through observation. 
For further info: www.thepitcher.org
Follow us on social media!

www.facebook.com/thepitcherorg
www.twitter.com/thepitcherorg
www.instagram.com/thepitcherorg
www.linkedin.com/company/thepitcherorg
",2018-04-21T09:00:00,2018-04-21T18:00:00,Business & Professional,Turkey
18 TEHNICI FUNDAMENTALE DE PARENTING - Constanta,"Acest seminar este pentru tine dacă:


Ești deja părinte sau urmează să devii în curând


Îți dorești să îți crești copilul într-o atmosferă pozitivă și echilibrată


Vrei să înțelegi nevoile esențiale ale copilului tău


Îți dorești să afli cele mai bune tehnici de parenting (testate și verificate de experți în ultimii 30 de ani) și care sunt practice și ușor de aplicat


Vrei să afli ce stă la baza comportamentelor copilului tău, ca să poți preîntâmpina posibile “incendii”


Îți dorești să ai un copil fericit, care să devină un adult echilibrat, pasionat de ceea ce face, care are încredere în sine, relații sănătoase și responsabilitate socială


Vrei să construiești cu el o relație armonioasă și hrănitoare


Vrei să afli care sunt principalele greșeli în parenting și cum să le eviți


Îți doresti ca experiența de părinte să fie plăcută, fără frustrare, stres și griji excesive


Îți place să înveți lucruri practice, nu doar să asculți pasiv o prelegere teoretică

",2018-04-18T09:30:00,2018-04-18T20:30:00,Family & Education,Turkey
18 TEHNICI FUNDAMENTALE DE PARENTING - Tulcea,"Acest seminar este pentru tine dacă:


Ești deja părinte sau urmează să devii în curând


Îți dorești să îți crești copilul într-o atmosferă pozitivă și echilibrată


Vrei să înțelegi nevoile esențiale ale copilului tău


Îți dorești să afli cele mai bune tehnici de parenting (testate și verificate de experți în ultimii 30 de ani) și care sunt practice și ușor de aplicat


Vrei să afli ce stă la baza comportamentelor copilului tău, ca să poți preîntâmpina posibile “incendii”


Îți dorești să ai un copil fericit, care să devină un adult echilibrat, pasionat de ceea ce face, care are încredere în sine, relații sănătoase și responsabilitate socială


Vrei să construiești cu el o relație armonioasă și hrănitoare


Vrei să afli care sunt principalele greșeli în parenting și cum să le eviți


Îți doresti ca experiența de părinte să fie plăcută, fără frustrare, stres și griji excesive


Îți place să înveți lucruri practice, nu doar să asculți pasiv o prelegere teoretică

",2018-04-17T09:30:00,2018-04-17T20:30:00,Family & Education,Turkey
Architecture Next 2018 ,"A good software architecture is one of the key differentiators between a good software system and a dead software system. Building a software system that merely answers its functional requirements could be simple or complex depending on the domain. However, authoring a software system that meets the non-functional requirements as well, and is maintainable, scalable, robust, secure and flexible enough to handle future changes is a much harder job. When you throw in to the mix modern approaches and technologies such as microservices, Docker, Blockchain, IoT and others, this job only get more complex. The amount of knowledge a modern architect must possess is overwhelming!
At Architecture Next 2018, we will discuss these revolutionary concepts and tools, and show you how they can be applied towards making your next software system a better one. Among the discussed issues and topics are the microservices architecture approach, Docker & Kubernetes, Blockchain technology, Big Data, Artificial Intelligence and more.
This conference is intended for software architects, team leads, CTOs, VP R&Ds, and any leading tech persona who designs and affects the development of software products and services. All sessions will be delivered by CodeValue’s top architecture experts including some of the leading figures in the realm of software architecture in Israel.

Agenda:
08:30-09:30 – Registration & Breakfast
09:30-10:45 – Using Modern Tools and Technologies to Improve Your Software Architecture
10:45-11:00 – Coffee Break
11:00-13:00 – Breakout Tracks:

Architecture Track – Modern technologies and approaches, and their implementation in a current software system.11:00-11:40 – Breaking the Monolith to Microservices with Docker and Kubernetes11:40-12:20 – Calling the Shots: Should I Go Native or Cross Platform?12:20-13:00 – Future Proofing Your Web Products
Executive Track – Focused track for executives and decision makers such as chief architects, CTOs, VP R&Ds, etc. Focus on the changes new and disruptive technologies bring to software systems.
11:00-12:10 – Dilemmas and Solutions in Modern Software Development

To Microservice or Not to Microservice?
UX Tools for Product Discovery
Planning the Unexpected: Dealing with a Rapidly Changing Reality

12:10-13:00 – Disruptive Technologies

Blockchain
Big Data
Artificial Intelligence




13:00-13:45 – Lunch Break
13:45-14:45 – Architecting IoT Solutions at Scale
14:45-15:30 – Ask the Experts Q&A



Speakers: 
Alon Fliess- Chief Architect @CodeValue, Azure MVP, MRD Eran Stiller- Chief Technology Officer @CodeValue, Azure MVPTamir Dresher- Cloud Division Leader @CodeValue, Development Technologies MVPEli Arbel – Senior Software Architect @CodeValueAriel Ben-Horesh - Mobile Division Leader @CodeValueAmir Zuker- Web Devision Leader @ CodeValueErez Pedro-  UX Devision Leader @CodeValueRonen Rubinfeld- Development Management & Methodology Lead, Senior Consultant @CodeValueMichael Kanevsky- VP Innovation @CodeValue",2018-04-26T08:30:00,2018-04-26T15:30:00,Science & Technology,Turkey
5th European Conference on Sustainable Urban Mobility Plans - Planning for Multimodal Cities,"Registration is now open for the European Commission’s 5th European Conference on Sustainable Urban Mobility Plans (SUMPs) on 14-15 May in Nicosia, Cyprus. This is Europe’s leading annual event for all those involved in putting the SUMP concept into practice. It serves as a forum for policy makers and academics across Europe to network, debate key issues and exchange ideas on sustainable urban mobility planning. Attendance is free of charge.
In line with the European Commission having dedicated the year 2018 to the promotion of multimodality, the theme of this year's conference is multimodality, with a focus on the integration of transport modes and combined mobility solutions for passengers and freight in cities and regions.
The conference is co-funded by the European Commission in cooperation with the Municipality of Nicosia and the Ministry of Transport, Communications and Works of the Republic of Cyprus. 
European Commissioner for Transport Violeta Bulc will address the opening plenary session. 
Representatives of local and regional authorities, policy makers, urban mobility planners, academics and other urban mobility professionals are especially welcome.
Last year's European Conference on Sustainable Urban Mobility Plans in Dubrovnik attracted 450 participants.


More information
All conference updates will be published on www.eltis.org. Draft programme to follow.",2018-05-14T08:00:00,2018-05-15T18:00:00,Government & Politics,Turkey
3. Bilişim Hukuku Zirvesi,"

Üçüncüsü gerçekleşek olan Bilişim Hukuku Zirvesi etkinliğimizin bu seneki konusu ""Finansal Teknolojilerdeki Gelişim ve Değişimler"" Bu bağlamda A'dan Z'ye merak ettiğiniz her şeye alanında uzman kişilerden cevap bulabilmek için hemen kayıt yaptırın ve aramıza katılın!






1.OTURUM - BLOCKCHAIN TEKNOLOJİSİ

OTURUM BAŞKANI : DOÇ. DR. H. BURAK GEMALMAZ

FATİH GÜNER (BLOCKCHAIN NEDİR? - KRİPTOPARA.İO) 
AV. BENAN İLHANLI (BLOCKCHAIN&HUKUK)
AV. HÜLYA AKSAKAL (AKILLI SÖZLEŞMELER&HUKUK)
AV. BURÇAK ÜNSAL (KİTLESEL FONLAMA & ICO)

2.OTURUM - KRİPTO&SANAL PARA BİRİMLERİ

OTURUM BAŞKANI : PROF. DR. EMREHAN İNAL (İÜHF)

ALİ SERMET TAŞDÖĞEN (KRİPTO&SANAL PARA NEDİR? - DİJİTAL PARA A.Ş.)
AV. HANIMŞAH BAYRAM (DÜNYADA SANAL PARA&HUKUK)
AV. ENVER AKSAKAL (SANAL MÜLKİYET HUKUKU)

3.OTURUM - SEKTÖRÜN DEĞİŞİMİ VE HUKUKUN EVRİMİ

OTURUM BAŞKANI : DOÇ. DR. ABDURRAHMAN SAVAŞ (İÜHF)

ATİLLA DACİ (FINTECH - GARANTİ BANKASI A.Ş.)
AV. SENEM ÖZYAVUZ ( HUKUKUN DİJİTALLEŞMESİ - TÜRK TELEKOM A.Ş.)



 ",2018-04-05T09:30:00,2018-04-05T17:00:00,Other,Turkey
Next Generation of Information Technologies,"Beklenen an geldi!
Dönemin en çok beklenen etkinliği, kulüp üyelerimizin en çok katılım gösterdiği bilişim teknolojileri adına A’dan Z’ye her konuda konuştuğumuz, Next Generation of Information Technologies etkinliğimizin ikincisi ile karşınızdayız! Alanında dev şirketler, konularında uzman konuşmacılarımız sürpriz hediyeler, tam burslu eğitimler ve çok daha fazlası NextGen of IT 2’de sizleri bekliyor!
Bu etkinliğe özel olarak katılan arkadaşlarımızdan çekilişle seçilecek iki şanslı kişi Bahçeşehir Üniversitesi | Wissen'den ücretsiz eğitim kazanacak!
Siz de geleceğin teknolojileri hakkında fikir edinmek, sektörün öncüleriyle tanışmak ve kariyerinize yön verecek eşsiz fırsatlara yelken açmak istiyorsanız hemen yerinizi ayırtın! Etkinliğimiz sertifikalıdır
Program Akışı: 12.30-18:301. Oturum: MEASURE - Measuring Software Engineeringa. Prof. Dr.Adem Karahoca b. Sinan Verdi - Solution Architectc. Arda Güreller - Project Manager(10 DAKİKA ARA)
2. Oturum: NETAŞ – Things To Clouda. İbrahim Doğru - IOT Cloud Apps Design Manager(10 DAKİKA ARA)
3. Oturum: Doğuş Teknoloji – Yapay Zekaa. Can Küçükgültekin – Senior Software Developer b. Ünal Karakuş – Software Development Team Leadc. Hakkı Köse – Software Consultant d. Çağatay Eralp – Experienced Senior(25 DAKİKA YEMEK ARASI)
4. Oturum: Vodafone – Big Dataa. Levent Dinçkal – Data Scientistb. Özgür Kaplanlıoğlu – Senior Associate Manager,Big Data & Advanced Analytics (10 DAKİKA ARA)
5. Oturum: SAP – Endüstri 4.0a. Serhan Yılmaz - Senior Energy Industry Leader
",2018-04-10T12:30:00,2018-04-10T18:00:00,Science & Technology,Turkey
Technology on the Water Pitch Night,"Technology on the Water Pitch Night
** Meet the Innovators Who Chart the Way to Maritime Technology Revolution **
Register today for theDOCK’s annual event - the only maritime technologies focused event in Israel – bringing together leading global maritime organizations, investors seeking investment opportunities and, most importantly, cutting-edge startups charting their way to revolutionize the industry.
-- Entrepreneur looking for the next challenge?
-- Investor exploring new opportunities?
-- Maritime ecosystem player passionate about open innovation and new technologies?
Join us on April 26 for a pitch night event featuring the best technologies Israel has to offer towards the port and maritime sectors.



On the Agenda:
6:30pm – Gathering, networking, beers & fun!
7:30pm – Welcome & KeynoteIsrael’s contribution to Global Ports & Maritime Innovation, Hannan Carmeli & Nir Gartzman, theDOCKTechnology Innovation Opportunities Addressing Maritime & Logistics Challenges, Thomas Hougaard, Maersk Growth
8:00pm – Pitch TimetheDOCK’s selected startups reshaping the maritime world
8:30pm – Judges FeedbackDistinguished judges panel of maritime industry experts & concluding words
9:30pm – Additional networking 


Travel:
Train – the fastest, easiest and most convenient way to arrive is by train. Tiltan rooftop is located just by the “Merkaz Hashmona” train station in Haifa.
Parking - If you are arriving by car it’s recommended that you park by the “Merkaz Hashmona” train station (free of charge all day) or at Sha’ar Palmer parking (free starting 7:00pm).

 

Accommodation:
We invite you to enjoy beautiful Haifa! For that reason, we have secured a block of rooms at a discount rate in the Golden Crown Haifa Hotel (promo code: THE DOCK). 
This beautiful hotel is situated in the German Colony in Haifa, which is full of tourist attractions, restaurants and cafés. From one side of the hotel you can enjoy the view of Haifa's Port and from the other side to the Baha'i gardens. In addition, the hotel is near Haifa downtown, where our conference takes place. 
For reservations contact: business@goldencrown.co.il, or by phone: +972-4-6393000, or +972-4-6393004.



Don't miss this amazing networking opportunity with highly influential figures from the maritime ecosystem.
More details to come.... Stay tuned!
www.thedockinnovation.com",2018-04-26T18:30:00,2018-04-26T21:30:00,Science & Technology,Turkey
Interscholastic Physics Students' Summit,"IPSS ‘18
Türkiye’nin ilk Okullar Arası Fizik Öğrencileri Zirvesi karşınızda!
 

 
IPSS NEDİR?
 
“Physics is, hopefully, simple. Physicists are not.” - Edward Teller
 
Interscholastic Physics Students’ Summit, kısaca IPSS, Türkçesiyle de “Üniversiteler Arası Fizik Öğrencileri Zirvesi”; İTÜ Fizik Mühendisliği Kulübü, ODTÜ Fizik Topluluğu ve Boğaziçi Üniversitesi Bilim Kulübü üyelerinin bir araya gelmesi ile oluşturulan Interscholastic Physics Students tarafından düzenlenen fizik temelli bir zirvedir.
 
Etkinlik fizik ve fiziğin alt dalları ile alakalı sunumlardan oluşan konferansları, workshopları, panelleri, iki gün boyunca katılımcıların masaları dolaşarak poster sunumu ile projelerini anlatan yüksek lisans ve doktora öğrencileri ve aynı zamanda yine fizik üzerine çalışmalar yürüten firmalara ayrılan masalarda çalışmaların incelenebileceği, dinlenebileceği ve bunları yakından tanıma fırsatının bulunabileceği fuar ortamını, fiziğe ilgisi olan ve belirli bir bilgi birikimine sahip olan herkesin eşsiz bilgiler edinebileceği bir networking ortamını ve de yapılacak olan catering servisini kapsamaktadır.
 
Fizik alanındaki uzman şirketler, akademisyenler ve de bilim insanları ile fizik öğrencileri başta olmak üzere fiziğe ilgi duyan kişilerin bir araya gelmesi ve geleceğimizi şekillendirecek olan fizik ve alt dalları hakkında yeni bilgiler edinilebilmesi amacıyla düzenlenen etkinlik belirli bir bilgi birikimine sahip herkese hitap edebilecek bir program içeriyor ve 500 kişiye ulaşan yüksek bir katılım hedefliyor.
Ana konuşmacı: Prof. Dr. Nihat Berker
29 Nisan Pazar günkü panelde Yüksek Enerji Fiziği, 30 Nisan Pazartesi günkü panelde ise Astrofizik ve Kozmoloji konuları ele alınacaktır.
Yer: İstanbul Teknik Üniversitesi Ayazağa Kampüsü Süleyman Demirel Kültür Merkezi
Tarih: 29-30 Nisan 2018
Facebook Sayfası: https://www.facebook.com/ipssummit
Twitter Sayfası: https://www.twitter.com/ipssummit
İnstagram Sayfası: https://www.instagram.com/ipssummit
Etkinliğin web sitesi:  http://www.ips-summit.com
*Etkinlik Türkiye’nin dört bir yanından tüm katılımcılara açık ve ücretsizdir.
*Kontenjanımız sınırlıdır.",2018-04-29T09:00:00,2018-04-30T18:00:00,Science & Technology,Turkey
